<0>;<1>;<2>;<3>;<4>;<5>;<6>;<7>;<8>;<9>;<10>;<11>;<12>;<13>;<14>;<15>;<16>;<17>;<18>;<19>;<20>;<21>;<22>;<23>;<24>;<25>;<26>;<27>;<28>;<29>;<30>;<31>;<32>;<33>;<34>;<35>;<36>;<37>;<38>;<39>;<40>;<41>;<42>;<43>;<44>;<45>;<46>;<47>;<48>;<49>;<50>;<51>;<52>;<53>;<54>;<55>;<56>;<57>;<58>;<59>;<60>;<61>;<62>;<63>;<64>;<65>;<66>;<67>;<68>;<69>;<70>;<71>;<72>;<73>;<74>;<75>;<76>;<77>;<78>;<79>;<80>;<81>;<82>;<83>;<84>;<85>;<86>;<87>;<88>;<89>;<90>;<91>;<92>;<93>;<94>;<95>;<96>;<97>;<98>;<99>;<100>;<101>;<102>;<103>;<104>;<105>;<106>;<107>;<108>;<109>;<110>;<111>;<112>;<113>;<114>;<115>;<116>;<117>;<118>;<119>;<120>;<121>;<122>;<123>;<124>;<125>;<126>;<127>;<128>;<129>;<130>;<131>;<132>;<133>;<134>;<135>;<136>;<137>;<138>;<139>;<140>;<141>;<142>;<143>;<144>;<145>;<146>;<147>;<148>;<149>;<150>;<151>;<152>;<153>;<154>;<155>;<156>;<157>;<158>;<159>;<160>;<161>;<162>;<163>;<164>;<165>;<166>;<167>;<168>;<169>;<170>;<171>;<172>;<173>;<174>;<175>;<176>;<177>;<178>;<179>;<180>;<181>;<182>;<183>;<184>;<185>;<186>;<187>;<188>;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0.5;0.5;0.41;0.23;0;0;0;0.76;1;0;1;0;0;1;0;0;1;0.5;0;1;1;0.5;0;0;1;0;1;0;0.79;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0.99;0;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0;0.5;1;0;0;1;1;0;0;0.5;0.5;0.5;1;0;0;1;1;1;0;0.5;0;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.99;1;0.11;0.5;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0.5;1;0;0;1;1;0;0.5;1;0;0;1;0.5;0;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;1;0;0.5;0.5;1;0;0;1;1;1;0;0.99;0.5;0.5;1;0;0;1;1;0;0.5;0;0.5;0.5;1;0;0;1;1;0;0.5;0.99;0.5;0;1;0;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;1;0.5;0.95;0;0;1;1;0;1;0;1;1;0;1;0.5;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0.99;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.99;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.99;0.5;1;0;0;1;1;0.5;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;0.34;0.5;0;0;0;0.69;0.60;1;0;1;1;0;1;1;0;0;1;0.5;0;1;1;0.5;0;0;1;1;1;0;0;1;1;0;0.5;0;1;1;0;0.5;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0.99;0;0;1;1;1;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.99;1;0;0;1;1;1;0;0.5;0.5;0.5;1;0;0;0;1;1;0;0;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.61;0.5;0.37;1;0;0.19;0;1;0;1;1;0;1;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;1;0;0.99;0;0;1;1;0;0.5;0.99;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;0;1;1;0;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.99;1;0;0;1;1;1;0.5;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;0.82;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.62;0.5;0.5;0;1;0.74;1;0;1;0;0;1;0;0;1;0.5;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0.5;0.5;0;1;1;0;0.5;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0;1;0;0;1;1;0;0;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;0.75;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0;0.5;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0.5;0;1;0;0.39;0;0;1;0;0;1;0.5;0;1;1;1;0;1;1;0.5;0;0;1;1;0.5;0;0;1;1;0;1;0;0;1;1;0;0.99;0.5;0;1;1;0;0.5;0.5;1;0;0;1;0;0.5;0.99;1;0;0;1;1;0;0;0.5;0.5;1;0;0;1;1;0;0.5;0.99;0.5;1;0;0;1;1;0;0.99;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.99;0.5;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.99;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;1;1;0.5;0;0;0.5;0;0;0;1;1;0;1;0.5;0;1;1;0;0;1;0.5;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0.99;0.5;0;1;1;0;0.5;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.5;0;0;0;1;1;0;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0.5;0;0.5;0;0.5;1;0;0;1;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0.5;0.5;0;0.83;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.99;1;0;0;1;1;0;0;0.99;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;1;0;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.99;0;0.5;1;0;0;1;1;0;0;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0;1;0;0;1;1;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.42;0.80;0;0.20;0;1;0;0;1;0;1;1;0;0;1;0.5;0;1;1;0.5;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0.5;0.5;0;1;1;0;0.99;1;0;0;1;1;0;0.5;0.99;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.99;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.99;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;1;0;0.5;0.5;0.99;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.64;0;0;0;1;0.74;0;0;0;1;0;0;1;0;0;1;0.5;0;1;1;0.5;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0.24;1;0;0;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;1;0;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0;0;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.83;0;0;0.76;1;0;0.5;1;0;1;0;0;1;0.5;0;1;1;0;0;1;0.5;0;0;1;1;0.5;0;0;1;1;0;0;0;1;1;0;0.5;0.5;0;1;1;0;0.99;1;0;0;1;1;0;0.5;0;0.5;0;1;1;0;0.5;0.5;0.99;0;0;0.79;1;0.5;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0;0.5;0;0.5;0.99;0;0;0;1;1;0;0;0.99;0.99;0.5;1;0;0;1;1;0.5;0;0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.94;0.74;0.12;0.05;0.65;0.30;0.5;1;1;0;1;0.5;0;1;0.5;0;1;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;0.5;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.99;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.99;0;0.5;1;0;0;1;1;1;0.5;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.99;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;1;0;0;0.82;0;0;0;0;0.88;0;1;1;0;1;1;0;0.63;1;0.5;0;1;1;1;0;0;1;0;1;0;0;1;0;0.5;0;0;1;1;0;0.5;0.5;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0.5;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.99;0;0;1;1;1;0;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.99;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;0;0;0.81;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0.5;1;0;0;1;0;0.5;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0;0.5;1;0;0;1;1;0.5;0;0.5;0;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0.5;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.72;0.60;0.32;0.68;0.93;1;0.72;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0.99;0;0;1;1;0;0.5;0.99;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.99;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.60;0.5;0.5;0.96;1;0;0.11;0;1;1;0;0;1;0.5;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0.5;1;0;1;1;0;0.5;1;0;0;1;1;0;0.5;1;0;0;1;1;0;0.5;0.99;0;0;1;1;0;0.99;0.5;0.99;0;0;0.11;1;1;0;0.5;0.5;1;0;0;1;1;0;0.99;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.5;0.99;0;0;0.5;1;1;0;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.99;0;0;0.34;1;1;0;0.5;0.5;0.5;0.5;0.99;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0.5;0.5;0.65;0;1;0;0;1;0;0;1;0.5;0;1;1;0.5;0;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;1;0;0.99;0;0;1;1;0;0.5;0.5;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0;0.5;0.5;0.5;1;0;0;1;1;0;0;0.5;0.5;0.5;0.5;0.5;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;1;0;0.36;0.5;0;0;0.65;0.5;1;1;0;1;0.5;0;1;1;0;0;1;0.5;0;0;1;0.5;1;0;1;1;0;1;0;0;1;0;0.5;0.5;0;1;1;0;0.5;1;0;0;1;1;0.5;0.99;1;0;0;1;1;0;0.5;0.99;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0;0;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0.5;0;1;0;0.19;0.5;1;0;0.5;0;0;0.5;0;1;0.5;0;1;1;0;0;1;0.5;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0.99;0;0;1;1;0;0.5;0.5;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.99;0.99;1;0;0;0.98;1;1;0;0.5;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.99;0.5;0.5;0.64;0;0.5;0.5;1;0.80;1;0;0.65;1;0;1;1;0;0.97;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;0.5;0;1;1;0;0.99;0;0;1;1;0;0.5;1;0;0;1;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.5;1;0;0;1;0.5;0;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0;0.5;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0;0.5;1;0;0;1;1;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.64;0.5;0.5;0.5;0;1;1;1;1;0;0;1;0;0;1;0.5;0;1;1;0.5;0;0.22;1;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0.5;1;0;0;1;1;0;0.5;0.99;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0;0.5;1;0;0;1;0.5;0;0.5;0.5;0.99;0;0;1;1;0.5;0;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.99;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.99;0.5;0.99;0;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0.5;0.69;0;0.36;0.5;0.72;0;0;0.94;0;1;1;0;0;1;0.5;0;0.06;1;0.5;0;0;1;0.5;1;0;0;1;0;0.5;0;0;1;1;0.5;0.99;0;0;1;1;0;0;1;0;0;1;0.5;0;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;1;0;0;1;1;0;0;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.99;0;0;0.5;1;1;0;0.5;0.5;0.99;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0;0;0.66;1;1;0;0.5;0.5;0.5;0;1;0;0;1;1;0;0.5;0.5;0.5;0.5;1;0;0;1;1;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
